,delta_s,s
2000-11-01,-0.0520039201669667,-0.0520039201669667
2000-11-02,-0.1047623255757723,-0.1567662457427391
2000-11-03,0.0800600476420308,-0.0767061981007082
2000-11-06,0.0790005873665705,0.0022943892658622
2000-11-07,0.1447728147753412,0.1470672040412035
2000-11-08,0.0128353807500286,0.1599025847912321
2000-11-09,0.1569299438463539,0.3168325286375861
2000-11-10,-0.0314347710833456,0.2853977575542404
2000-11-13,0.0742628720969283,0.3596606296511688
2000-11-14,0.1895427074394146,0.5492033370905836
2000-11-15,0.1724628922435132,0.7216662293340967
2000-11-16,-0.1721158849262052,0.5495503444078915
2000-11-17,0.1282968726781643,0.6778472170860559
2000-11-20,0.0295951812289138,0.7074423983149698
2000-11-21,-0.0079858411521895,0.6994565571627802
2000-11-22,0.0105551336893521,0.7100116908521323
2000-11-24,0.0211720353709813,0.7311837262231137
2000-11-27,-0.0839577304919531,0.6472259957311606
2000-11-28,-0.379557075697596,0.2676689200335646
2000-11-29,0.1279389326801823,0.3956078527137469
2000-11-30,-0.125713627871237,0.2698942248425099
2000-12-01,-0.4308685311810117,-0.1609743063385018
2000-12-04,0.0510562127380202,-0.1099180936004815
2000-12-05,-0.4216241494686932,-0.5315422430691747
2000-12-06,0.1757351197571141,-0.3558071233120605
2000-12-07,-0.1182565938304279,-0.4740637171424885
2000-12-08,-0.197528962028893,-0.6715926791713815
2000-12-11,0.3316072476556436,-0.3399854315157379
2000-12-12,-0.127132729972791,-0.4671181614885289
2000-12-13,-0.408784192087297,-0.8759023535758259
2000-12-14,-0.1886499399665612,-1.0645522935423872
2000-12-15,0.2384914292338212,-0.8260608643085661
2000-12-18,0.083816612524033,-0.742244251784533
2000-12-19,-0.0411187842978269,-0.7833630360823599
2000-12-20,-0.6344406787589233,-1.4178037148412832
2000-12-21,0.0100285802414172,-1.407775134599866
2000-12-22,0.029739305874355,-1.378035828725511
2000-12-26,0.26633009435408,-1.111705734371431
2000-12-27,-0.0108371688909158,-1.1225429032623468
2000-12-28,-0.1712015622285132,-1.29374446549086
2000-12-29,0.1908302018149713,-1.1029142636758889
2001-01-02,-0.4305421587146574,-1.5334564223905462
2001-01-03,0.1692722701632521,-1.3641841522272942
2001-01-04,-0.0996010627194174,-1.4637852149467117
2001-01-05,-0.1934081899031333,-1.657193404849845
2001-01-08,-0.1121237793350295,-1.7693171841848745
2001-01-09,0.0583344018415114,-1.710982782343363
2001-01-10,0.4770305054906019,-1.233952276852761
2001-01-11,-0.0427814994158405,-1.2767337762686015
2001-01-12,0.1879906074258634,-1.0887431688427385
2001-01-16,-0.0746631604544554,-1.1634063292971937
2001-01-17,-0.3669617286134902,-1.530368057910684
2001-01-18,0.0334627426066715,-1.4969053153040124
2001-01-19,0.3899391464259714,-1.106966168878041
2001-01-22,-0.0091847150234094,-1.1161508839014505
2001-01-23,-0.201521830960811,-1.3176727148622616
2001-01-24,-0.138176179130338,-1.4558488939925995
2001-01-25,0.0358175540487703,-1.4200313399438291
2001-01-26,0.0900901504574705,-1.3299411894863586
2001-01-29,-0.2319243202191619,-1.5618655097055203
2001-01-30,-0.1594039472373972,-1.7212694569429177
2001-01-31,-0.148966062445936,-1.8702355193888536
2001-02-01,-0.0732565307381418,-1.9434920501269952
2001-02-02,0.47829808509233,-1.4651939650346657
2001-02-05,-0.1966167747254526,-1.661810739760118
2001-02-06,0.0373309282214642,-1.6244798115386538
2001-02-07,0.2432089673275574,-1.3812708442110964
2001-02-08,0.1006475450113286,-1.2806232991997677
2001-02-09,-0.2284125996905725,-1.5090358988903405
2001-02-12,-0.1672957483611667,-1.676331647251507
2001-02-13,0.0290737749340809,-1.6472578723174265
2001-02-14,-0.0838584795906611,-1.7311163519080874
2001-02-15,-0.1081374899169059,-1.8392538418249933
2001-02-16,-0.0852511610357022,-1.9245050028606956
2001-02-20,-0.1741758342227939,-2.0986808370834895
2001-02-21,-0.0962566522184608,-2.1949374893019504
2001-02-22,-0.0449099066340793,-2.23984739593603
2001-02-23,-0.0331795991131792,-2.273026995049209
2001-02-26,-0.1132887598843866,-2.386315754933596
2001-02-27,-0.0367629769773805,-2.423078731910977
2001-02-28,-0.3110101770751219,-2.7340889089860987
2001-03-01,0.125737976718655,-2.6083509322674434
2001-03-02,0.1616207320489038,-2.4467302002185396
2001-03-05,0.1377347450806376,-2.308995455137902
